id,fare,tip,dist,long,lat,Count,cluster,State
1,509384.03,823.58,1262.81,-73.9875,40.7335,610,3,NY
2,446787.3,51353.99,157469.28,-73.7818,40.6448,9478,3,NY
3,437983.51,50333.79,153814.75,-73.7821,40.6447,9541,3,NY
4,422980.05,45957.66,146981.31,-73.7766,40.6454,9879,3,NY
5,421103.59,48348.57,147735,-73.7821,40.6445,9420,3,NY
6,389204.8,51131.27,118893.13,-73.8709,40.7736,12712,3,NY
7,385179.46,44664.91,134689.1,-73.7824,40.6445,8538,3,NY
8,374293.03,42990.97,130521.7,-73.7823,40.6446,8245,3,NY
9,366438.7,41525.76,127846.96,-73.7768,40.6453,8438,3,NY
10,357322.69,2755.07,4475.28,-73.9651,40.7553,2129,3,NY
