fare,tip,dist,long,lat,Count,cluster,State
127048.7,15932.34,24370.31,-73.9942,40.7511,10534,2count,NY
117225.5,13569.65,23120.1,-73.9915,40.7498,10398,2count,NY
316709,50797.82,97766.47,-73.8728,40.7741,10394,2count,NY
310437.5,47872.89,95530.25,-73.8729,40.7739,10245,2count,NY
331261.3,57146.79,102981.6,-73.8628,40.7691,10079,2count,NY
298605.4,57739.29,89485.89,-73.8853,40.7731,10016,2count,NY
130610.7,14897.3,28948.57,-73.9542,40.7641,9954,2count,NY
332129.9,60128.01,104393.2,-73.8633,40.7699,9941,2count,NY
422980,45957.66,146981.3,-73.7766,40.6454,9879,2count,NY
116998.6,13904.45,23516.97,-73.9939,40.7512,9677,2count,NY
437983.5,50333.79,153814.8,-73.7821,40.6447,9541,2count,NY
446787.3,51353.99,157469.3,-73.7818,40.6448,9478,2count,NY
421103.6,48348.57,147735,-73.7821,40.6445,9420,2count,NY
284056.9,56547.79,85081.57,-73.8853,40.773,9393,2count,NY
277870.7,37213.85,8085922,-73.8708,40.7738,9277,2count,NY
116741.7,15561.22,23428.75,-73.9946,40.7503,9275,2count,NY
114555.8,15127.29,9028079,-73.9947,40.7503,9218,2count,NY
109958.6,13573.09,22693.26,-73.9939,40.7513,9196,2count,NY
104740.4,12257.27,20084.35,-73.9912,40.7499,9112,2count,NY
120979.6,13477.1,26588.8,-73.9543,40.7641,9082,2count,NY
111188.4,10276.15,21044.4,-73.9622,40.779,9062,2count,NY
101302.8,12243.39,20341.07,-73.9781,40.7523,9024,2count,NY
277844.7,48630.83,87059.83,-73.8747,40.774,8991,2count,NY
103408.2,11918.99,20073.38,-73.9912,40.75,8987,2count,NY
112270,9569.82,21030.81,-73.9622,40.7791,8974,2count,NY
278021.7,38563.41,85087.26,-73.8711,40.7738,8904,2count,NY
270781.6,42410.35,83147.3,-73.8728,40.774,8888,2count,NY
100297.9,11576.07,20557.21,-73.9916,40.7498,8868,2count,NY
101663.6,11736.5,19781.7,-73.9913,40.7502,8852,2count,NY
100729.4,11680.4,19466.59,-73.9914,40.7502,8823,2count,NY
108622.2,13974.36,22302.66,-73.9946,40.7505,8775,2count,NY
105663.4,9040.37,19649.6,-73.9623,40.779,8721,2count,NY
101096.4,11771.2,19644.37,-73.9916,40.7501,8696,2count,NY
100210.6,11604.29,19278,-73.9912,40.7498,8691,2count,NY
262112.6,40487.8,81531.91,-73.873,40.7739,8636,2count,NY
264147.3,45096.83,82337.24,-73.8744,40.7741,8622,2count,NY
264136.2,41221.15,81611.72,-73.8732,40.774,8590,2count,NY
84818.2,11515.03,16191.84,-73.9823,40.7683,8560,2count,NY
385179.5,44664.91,134689.1,-73.7824,40.6445,8538,2count,NY
366438.7,41525.76,127847,-73.7768,40.6453,8438,2count,NY
105696.3,13847.14,19705.79,-73.9941,40.7509,8438,2count,NY
282858.7,50275.19,86532.19,-73.8634,40.7699,8432,2count,NY
95237,10785.99,18462.86,-73.9912,40.7501,8349,2count,NY
99121.2,11845.78,19188.67,-73.9939,40.7511,8274,2count,NY
374293,42990.97,130521.7,-73.7823,40.6446,8245,2count,NY
345426.8,38884.32,120505.8,-73.7768,40.6451,8125,2count,NY
90676.21,11573.05,18330.34,-73.9781,40.7524,8096,2count,NY
342271.8,39098.06,119053.8,-73.7768,40.645,8054,2count,NY
266667.4,46768.45,81650.68,-73.8635,40.7698,8015,2count,NY
244316.8,49219.64,73182.7,-73.8852,40.773,7999,2count,NY
353384.2,39584.09,123366.1,-73.782,40.6445,7952,2count,NY
236716.4,37043.75,374196.5,-73.873,40.7742,7931,2count,NY
358826,38420.49,6626291,-73.7833,40.6486,7842,2count,NY
234000.9,37950.9,72292.77,-73.8729,40.7742,7828,2count,NY
89323.4,9934.6,17712.65,-73.9913,40.7497,7820,2count,NY
87927,10760.25,17905.24,-73.9782,40.7523,7753,2count,NY
258275.2,44248.35,78791.31,-73.8636,40.7697,7709,2count,NY
257574.7,45997.06,78610.53,-73.8634,40.7698,7707,2count,NY
258455.3,45125.03,78802.03,-73.8635,40.7697,7697,2count,NY
255790.3,47250.46,78398.59,-73.8633,40.77,7669,2count,NY
89128.9,10718.29,17869.13,-73.9941,40.7513,7648,2count,NY
89402.8,12343.97,19750.01,-73.9971,40.7221,7586,2count,NY
84498.8,10680.11,17126.8,-73.978,40.7523,7568,2count,NY
251563.6,45358.48,77393.01,-73.8634,40.77,7552,2count,NY
248863.4,43191.88,76360.36,-73.8636,40.7698,7536,2count,NY
233942.4,40930.29,72920.32,-73.8748,40.774,7508,2count,NY
248064.9,44237.46,76171.9,-73.8635,40.7699,7464,2count,NY
84197.1,9676.95,16629.96,-73.9912,40.7502,7430,2count,NY
82212.4,9475.35,16370.66,-73.9914,40.7497,7408,2count,NY
89795.11,11543.89,17892.36,-73.9947,40.7504,7350,2count,NY
83801.4,9414.85,16303.34,-73.9917,40.75,7312,2count,NY
89772.8,11569.01,18319.44,-73.9945,40.7506,7284,2count,NY
85803.6,11890.8,20131.79,-73.989,40.7215,7224,2count,NY
241535,39317.44,74445.63,-73.8629,40.7687,7190,2count,NY
78958.31,11635.44,18014.62,-73.9915,40.7269,7097,2count,NY
71177.2,9603.17,13845.54,-73.9822,40.7683,7094,2count,NY
81744.4,9482.92,15920.85,-73.9912,40.7497,7087,2count,NY
