Year,Id,Predicted.Values
2014,00230138,Retained
2015,00230138,Retained
2015,00231830,Retained
2014,00232787,Retained
2015,00233766,Retained
2015,00234152,Retained
2015,00234188,Retained
2015,00235819,Retained
2015,00235970,Retained
2015,00236105,Retained
2014,00236150,Retained
2014,00236326,Retained
2014,00237126,Retained
2015,00237914,Retained
2015,00238220,Retained
2015,00238436,Retained
2013,00238977,Retained
2014,00239838,Retained
2014,00240510,Retained
2015,00241273,Retained
2015,00241589,Retained
2014,00241929,Retained
2015,00242357,Retained
2014,00243254,Retained
2015,00243418,Retained
2015,00243815,Retained
2015,00245285,Retained
2015,00245293,Retained
2015,00245536,Retained
2015,00245750,Retained
2014,00246070,Retained
2014,00246330,Retained
2015,00246426,Retained
2015,00246566,Retained
2015,00246954,Retained
2015,00247088,Retained
2013,00247627,Retained
2014,00249151,Retained
2015,00250919,Retained
2015,00251210,Retained
2015,00252000,Retained
2014,00252454,Retained
2015,00254956,Retained
2015,00255648,Retained
2015,00255908,Retained
2015,00256504,Retained
2015,00257049,Retained
2015,00257513,Retained
2015,00258227,Retained
2014,00258243,Retained
2015,00258389,Retained
2014,00259328,Retained
2015,00259596,Retained
2014,00259851,Retained
2015,00260169,Retained
2015,00260472,Retained
2015,00260549,Retained
2014,00260836,Retained
2014,00260856,Retained
2014,00261197,Retained
2013,00262264,Retained
2014,00262446,Retained
2015,00263246,Retained
2014,00264407,Retained
2013,00264468,Retained
2015,00265029,Retained
2015,00265351,Retained
2015,00265643,Retained
2015,00265726,Retained
2014,00266399,Retained
2015,00266585,Retained
2015,00267373,Retained
2015,00268105,Retained
2015,00269603,Retained
2013,00269994,Lost
2015,00270245,Retained
2014,00270433,Retained
2014,00270628,Retained
2015,00270662,Retained
2014,00271089,Retained
2015,00272134,Retained
2015,00272849,Retained
2015,00272991,Retained
2014,00273323,Retained
2014,00273922,Retained
2014,00273922,Retained
2015,00274452,Retained
2015,00274732,Retained
2014,00274825,Retained
2014,00275072,Retained
2013,00275189,Lost
2014,00275257,Retained
2015,00275307,Retained
2014,00275403,Retained
2014,00275613,Retained
2014,00277163,Retained
2015,00278142,Retained
2015,00279128,Retained
2015,00279758,Retained
2015,00279772,Retained
2014,00279793,Retained
2014,00279800,Retained
2014,00280632,Retained
2015,00281251,Retained
2014,00281598,Retained
2015,00281598,Retained
2015,00282044,Retained
2015,00282240,Retained
2015,00282467,Retained
2015,00283386,Retained
2014,00283620,Retained
2014,00283673,Retained
2014,00284364,Retained
2015,00284534,Retained
2015,00285311,Retained
2015,00285613,Retained
2015,00285630,Retained
2015,00285939,Retained
2015,00286069,Retained
2015,00286459,Retained
2015,00286525,Retained
2015,00286638,Retained
2014,00286784,Retained
2014,00286902,Retained
2013,00287302,Lost
2015,00287590,Retained
2014,00287601,Retained
2015,00287735,Retained
2015,00288559,Retained
2015,00289260,Retained
2015,00289989,Retained
2014,00290051,Retained
2015,00290337,Retained
2015,00290593,Retained
2015,00290648,Retained
2015,00291148,Retained
2015,00291324,Retained
2015,00292376,Retained
2015,00293483,Retained
2014,00295260,Retained
2015,00295794,Retained
2014,00295896,Retained
2014,00297421,Retained
2015,00298358,Retained
2015,00298533,Retained
2014,00298976,Retained
2014,00299480,Lost
2014,00299933,Retained
2014,00300198,Retained
2013,00300449,Lost
2014,00300998,Retained
2014,00301615,Retained
2015,00301996,Retained
2015,00303163,Retained
2015,00303249,Retained
2014,00303455,Retained
2015,00303953,Retained
2015,00304901,Retained
2015,00305440,Retained
2015,00305617,Retained
2015,00306317,Retained
2015,00306900,Retained
2015,00306932,Retained
2015,00307476,Retained
2015,00308080,Retained
2015,00308674,Retained
2014,00310212,Retained
2015,00310477,Retained
2014,00310635,Retained
2014,00311540,Retained
2014,00312213,Retained
2014,00313325,Retained
2015,00313630,Retained
2015,00314532,Retained
2015,00314707,Retained
2015,00316120,Retained
2015,00316547,Retained
2015,00317298,Retained
2015,00318392,Retained
2015,00319078,Retained
2015,00319267,Retained
2013,00320187,Lost
2014,00320698,Retained
2015,00321576,Retained
2014,00323943,Retained
2015,00324846,Retained
2014,00324976,Retained
2015,00325052,Retained
2015,00325471,Retained
2015,00326671,Retained
2013,00326840,Retained
2015,00327370,Lost
2015,00327407,Retained
2015,00328020,Retained
2015,00328084,Retained
2015,00328421,Retained
2015,00328513,Retained
2015,00328829,Retained
2014,00329095,Retained
2015,00329097,Retained
2014,00329154,Lost
2014,00329219,Retained
2013,00329426,Lost
2013,00329454,Retained
2014,00329566,Retained
2014,00329688,Retained
2015,00329984,Retained
2015,00330023,Retained
2015,00330094,Retained
2013,00330486,Retained
2014,00330486,Retained
2015,00330489,Retained
2015,00330744,Retained
2015,00330970,Retained
2015,00336090,Retained
2014,00340401,Retained
2015,00347469,Retained
2015,00375264,Retained
2014,00378628,Retained
2015,00380832,Retained
2014,00382361,Retained
2015,00383347,Retained
2015,00383911,Retained
2015,00385481,Retained
2015,00393385,Retained
2015,00398606,Retained
2014,00399154,Retained
2014,00403977,Retained
2015,00411459,Retained
2015,00414511,Retained
2015,00415935,Retained
2015,00417501,Retained
2014,00421876,Retained
2015,00424816,Retained
2014,00425050,Retained
2014,00431311,Retained
2013,00433789,Retained
2015,00439566,Retained
2014,00443740,Retained
2015,00461042,Retained
2015,00462109,Retained
2015,00470095,Retained
2014,00472454,Retained
2015,00472788,Retained
2014,00478055,Retained
2015,00479200,Retained
2015,00485388,Retained
2015,00485407,Retained
2015,00489504,Retained
2015,00490732,Retained
2015,00491698,Retained
2014,00500849,Retained
2014,00506693,Retained
2015,00506693,Retained
2014,00508502,Retained
2015,00511863,Retained
2014,00511919,Retained
2014,00514572,Lost
2014,00536163,Retained
2014,00546581,Retained
2015,00556754,Retained
2013,00564800,Retained
2014,00564800,Retained
2014,00568712,Retained
2015,00582944,Retained
2015,00583074,Retained
2015,00589695,Retained
2014,00596799,Retained
2015,00602192,Retained
2015,00603986,Retained
2014,00609941,Retained
2014,00612630,Lost
2015,00620971,Retained
2015,00625475,Retained
2015,00627452,Retained
2015,00629408,Retained
2015,00630926,Retained
2015,00632884,Retained
2015,00636770,Retained
2015,00652640,Retained
2014,00654514,Retained
2015,00664801,Retained
2015,00671091,Retained
2015,00675180,Retained
2014,00678153,Retained
2014,00682857,Retained
2015,00682911,Retained
2015,00686487,Retained
2015,00691757,Retained
2015,00692861,Retained
2015,00700980,Retained
2014,00703890,Retained
2015,00709685,Retained
2015,00716084,Retained
2014,00717155,Lost
2015,00718936,Retained
2015,00723559,Retained
2015,00724790,Retained
2014,00728721,Retained
2015,00741909,Retained
2015,00746904,Retained
2015,00749118,Retained
2015,00750961,Retained
2015,00755350,Retained
2015,00758666,Retained
2014,00767762,Retained
2015,00778536,Retained
2014,00779528,Retained
2014,00779763,Retained
2015,00781513,Retained
2014,00784941,Lost
2014,00788134,Retained
2014,00788416,Retained
2014,00790110,Retained
2015,00793805,Retained
2014,00796248,Retained
2014,00798411,Retained
