id,lat,long,State
1902,40.7484,-74.0058,NY
1903,40.7547,-73.8824,NY
1904,40.7612,-73.9696,NY
1905,40.7256,-73.7917,NY
1906,40.7527,-73.9751,NY
1907,40.8282,-73.9086,NY
1908,40.7722,-73.9588,NY
1909,40.6828,-73.8272,NY
1910,40.7482,-74.0075,NY
1911,40.81,-73.9587,NY
1912,40.7606,-73.9694,NY
1913,40.748,-74.0085,NY
1914,40.7257,-74.004,NY
1915,40.5836,-73.9494,NY
1916,40.6998,-73.9828,NY
1917,40.6842,-73.974,NY
1918,40.7342,-73.9834,NY
1919,40.6116,-73.9946,NY
1920,40.6852,-73.9783,NY
1921,40.8058,-73.9618,NY
1922,40.7743,-73.9513,NY
1923,40.7195,-73.9866,NY
1924,40.7211,-73.9982,NY
1925,40.6523,-73.956,NY
1926,40.723,-73.9531,NY
1927,40.7871,-73.9419,NY
1928,40.8115,-73.9502,NY
1929,40.7146,-74.0157,NY
1930,40.6704,-73.9853,NY
1931,40.7273,-74.0006,NY
1932,40.7259,-74.0012,NY
1933,40.7313,-73.9886,NY
1934,40.7146,-73.9579,NY
1935,40.7135,-73.9966,NY
1936,40.691,-73.9893,NY
1937,40.7864,-73.976,NY
1938,40.7511,-73.9827,NY
1939,40.7711,-73.9596,NY
1940,40.7433,-73.9841,NY
1941,40.809,-73.9483,NY
1942,40.7802,-73.9572,NY
1943,40.688,-73.8487,NY
1944,40.7459,-73.9843,NY
1945,40.7908,-73.9746,NY
1946,40.7701,-73.9804,NY
1947,40.7312,-73.9544,NY
1948,40.8053,-73.9634,NY
1949,40.7951,-73.9659,NY
1950,40.8164,-73.9442,NY
1951,40.7497,-73.9953,NY
1952,40.784,-73.9466,NY
1953,40.7536,-73.9871,NY
1954,40.8758,-73.8289,NY
1955,40.7461,-73.979,NY
1956,40.8487,-73.9179,NY
1957,40.713,-74.0042,NY
1958,40.7456,-73.9951,NY
1959,40.8502,-73.9358,NY
1960,40.7288,-73.7861,NY
1961,40.7948,-73.9217,NY
1962,40.7246,-74.007,NY
1963,40.8397,-73.9432,NY
1964,40.7838,-73.98,NY
1965,40.7193,-73.8349,NY
1966,40.7148,-73.9588,NY
1967,40.7635,-73.9852,NY
1968,40.7337,-73.993,NY
1969,40.7348,-73.9987,NY
1970,40.7005,-73.9934,NY
1971,40.7031,-73.831,NY
1972,40.733,-73.996,NY
1973,40.7365,-73.987,NY
1974,40.7514,-73.974,NY
1975,40.8453,-73.7848,NY
1976,40.7038,-73.994,NY
1977,40.7567,-73.9786,NY
1978,40.7644,-73.9714,NY
1979,40.6305,-73.9952,NY
1980,40.803,-73.9363,NY
1981,40.7341,-73.8692,NY
1982,40.8462,-73.9385,NY
1983,40.7622,-73.9899,NY
1984,40.7251,-73.9953,NY
1985,40.747,-73.8978,NY
1986,40.7566,-73.9765,NY
1987,40.7445,-73.9175,NY
1988,40.6346,-74.0295,NY
1989,40.7201,-73.7904,NY
1990,40.756,-73.9748,NY
1991,40.704,-74.0116,NY
1992,40.7641,-73.9922,NY
1993,40.766,-73.9675,NY
1994,40.7763,-73.9621,NY
1995,40.7437,-73.9233,NY
1996,40.6797,-73.9617,NY
1997,40.763,-73.9565,NY
1998,40.8172,-73.9423,NY
